metadata: N/A
[1489235887.59, 67.32]
[1489235887.7, 69.36]
[1489235887.8, 68.12]
[1489235887.91, 66.51]
[1489235888.01, 66.9]
[1489235888.12, 67.31]
[1489235888.22, 66.46]
[1489235888.32, 66.47]
[1489235888.43, 66.49]
[1489235888.53, 67.71]
[1489235888.64, 67.72]
[1489235888.74, 66.47]
[1489235888.85, 67.69]
[1489235888.95, 67.31]
[1489235889.06, 66.15]
[1489235889.16, 66.46]
[1489235889.27, 66.47]
[1489235889.37, 66.42]
[1489235889.48, 68.05]
[1489235889.58, 66.04]
[1489235889.69, 68.08]
[1489235889.79, 67.3]
[1489235889.9, 67.32]
[1489235890.0, 67.29]
[1489235890.11, 67.26]
[1489235890.21, 66.85]
[1489235890.32, 64.95]
[1489235890.42, 66.87]
[1489235890.53, 69.63]
[1489235890.63, 67.28]
[1489235890.73, 68.14]
[1489235890.84, 67.33]
[1489235890.94, 70.93]
[1489235891.05, 30.3]
[1489235891.15, 71.38]
[1489235891.27, 71.78]
[1489235891.38, 72.6]
[1489235891.48, 71.72]
[1489235891.59, 71.74]
[1489235891.69, 72.59]
[1489235891.8, 72.17]
[1489235891.9, 72.39]
[1489235892.01, 70.52]
[1489235892.11, 70.99]
[1489235892.22, 71.72]
[1489235892.32, 67.32]
[1489235892.43, 71.29]
[1489235892.53, 71.71]
[1489235892.64, 70.45]
[1489235892.74, 71.34]
[1489235892.85, 71.7]
[1489235892.95, 72.12]
[1489235893.06, 70.9]
[1489235893.16, 70.93]
[1489235893.27, 70.86]
[1489235893.37, 71.31]
[1489235893.48, 71.36]
[1489235893.58, 71.77]
[1489235893.69, 71.38]
[1489235893.79, 71.38]
[1489235893.9, 70.91]
[1489235894.0, 70.44]
[1489235894.11, 71.74]
[1489235894.21, 72.58]
[1489235894.32, 72.23]
[1489235894.43, 72.59]
[1489235894.53, 74.65]
[1489235894.64, 71.34]
[1489235894.74, 71.74]
[1489235894.85, 75.05]
[1489235894.95, 72.6]
[1489235895.06, 72.99]
[1489235895.16, 89.69]
[1489235895.27, 75.44]
[1489235895.37, 73.81]
[1489235895.48, 73.02]
[1489235895.58, 75.87]
[1489235895.69, 75.06]
[1489235895.79, 71.82]
[1489235895.9, 71.81]
[1489235896.0, 70.95]
[1489235896.11, 72.99]
[1489235896.21, 71.8]
[1489235896.32, 70.62]
[1489235896.42, 72.25]
[1489235896.53, 73.06]
[1489235896.63, 75.55]
[1489235896.74, 72.65]
[1489235896.84, 71.4]
[1489235896.95, 70.98]
[1489235897.05, 72.66]
[1489235897.16, 73.04]
[1489235897.26, 71.8]
[1489235897.37, 71.83]
[1489235897.47, 73.04]
[1489235897.58, 71.8]
[1489235897.68, 71.02]
[1489235897.79, 71.83]
[1489235897.89, 75.91]
[1489235898.0, 73.83]
[1489235898.1, 73.38]
[1489235898.21, 75.44]
[1489235898.31, 75.53]
[1489235898.42, 75.55]
[1489235898.52, 75.1]
[1489235898.63, 75.51]
[1489235898.73, 75.98]
[1489235898.84, 71.84]
[1489235898.94, 72.66]
[1489235899.05, 72.2]
[1489235899.15, 71.79]
[1489235899.26, 72.27]
[1489235899.36, 72.29]
[1489235899.47, 72.29]
[1489235899.57, 72.7]
[1489235899.68, 71.04]
[1489235899.78, 71.43]
[1489235899.89, 72.7]
[1489235899.99, 73.07]
[1489235900.1, 73.09]
[1489235900.21, 72.7]
[1489235900.31, 71.44]
[1489235900.42, 72.68]
[1489235900.52, 54.93]
[1489235900.63, 46.74]
[1489235900.73, 75.17]
[1489235900.84, 79.68]
[1489235900.94, 72.63]
[1489235901.05, 74.7]
[1489235901.15, 74.41]
[1489235901.27, 73.26]
[1489235901.37, 82.92]
[1489235901.48, 75.55]
[1489235901.58, 69.8]
[1489235901.69, 72.66]
[1489235901.8, 72.2]
[1489235901.9, 71.4]
[1489235902.01, 71.35]
[1489235902.11, 70.97]
[1489235902.22, 71.38]
[1489235902.32, 86.04]
[1489235902.43, 72.2]
[1489235902.53, 71.8]
[1489235902.64, 71.38]
[1489235902.74, 71.41]
[1489235902.85, 72.25]
[1489235902.95, 71.45]
[1489235903.06, 71.38]
[1489235903.16, 71.18]
[1489235903.27, 71.81]
[1489235903.37, 72.61]
[1489235903.48, 73.01]
[1489235903.58, 72.2]
[1489235903.7, 75.27]
[1489235903.8, 76.75]
[1489235903.91, 75.51]
[1489235904.01, 78.58]
[1489235904.12, 70.98]
[1489235904.22, 73.83]
[1489235904.33, 68.36]
[1489235904.44, 56.79]
[1489235904.55, 72.61]
[1489235904.65, 71.8]
[1489235904.76, 67.13]
[1489235904.87, 72.17]
[1489235904.98, 71.04]
[1489235905.08, 72.54]
[1489235905.19, 72.12]
[1489235905.29, 72.53]
[1489235905.4, 72.54]
[1489235905.51, 71.34]
[1489235905.61, 72.97]
[1489235905.72, 72.53]
[1489235905.82, 71.34]
[1489235905.93, 71.35]
[1489235906.03, 71.79]
[1489235906.14, 71.74]
[1489235906.24, 62.89]
[1489235906.35, 72.59]
[1489235906.45, 72.2]
[1489235906.56, 72.15]
